   Insurance  $1,544 $1,598 $1,654 $1,712 $1,772 2023 "Acura TLX Sedan Type S PMC Edition 4dr Sedan AWD" "3.0L 6cyl Turbo 10A" 53065
 Maintenance     $86   $445   $391 $1,317   $896 2023 "Acura TLX Sedan Type S PMC Edition 4dr Sedan AWD" "3.0L 6cyl Turbo 10A" 53065
     Repairs      $0     $0     $0   $462   $707 2023 "Acura TLX Sedan Type S PMC Edition 4dr Sedan AWD" "3.0L 6cyl Turbo 10A" 53065
Taxes & Fees  $4,202   $300   $269   $244   $244 2023 "Acura TLX Sedan Type S PMC Edition 4dr Sedan AWD" "3.0L 6cyl Turbo 10A" 53065
   Financing  $5,273 $4,297 $3,224 $2,045   $749 2023 "Acura TLX Sedan Type S PMC Edition 4dr Sedan AWD" "3.0L 6cyl Turbo 10A" 53065
Depreciation $17,831 $4,811 $3,930 $4,404 $3,847 2023 "Acura TLX Sedan Type S PMC Edition 4dr Sedan AWD" "3.0L 6cyl Turbo 10A" 53065
        Fuel  $3,149 $3,243 $3,340 $3,441 $3,544 2023 "Acura TLX Sedan Type S PMC Edition 4dr Sedan AWD" "3.0L 6cyl Turbo 10A" 53065
   Insurance  $1,544 $1,598 $1,654 $1,712 $1,772 2023 "Acura TLX Sedan Type S 4dr Sedan AWD" "3.0L 6cyl Turbo 10A" 539096
 Maintenance     $86   $440   $386 $2,465 $2,049 2023 "Acura TLX Sedan Type S 4dr Sedan AWD" "3.0L 6cyl Turbo 10A" 539096
     Repairs      $0     $0     $0   $462   $707 2023 "Acura TLX Sedan Type S 4dr Sedan AWD" "3.0L 6cyl Turbo 10A" 539096
Taxes & Fees  $3,347   $239   $214   $194   $194 2023 "Acura TLX Sedan Type S 4dr Sedan AWD" "3.0L 6cyl Turbo 10A" 539096
   Financing  $4,197 $3,421 $2,566 $1,628   $597 2023 "Acura TLX Sedan Type S 4dr Sedan AWD" "3.0L 6cyl Turbo 10A" 539096
Depreciation $13,282 $3,928 $3,209 $3,595 $3,141 2023 "Acura TLX Sedan Type S 4dr Sedan AWD" "3.0L 6cyl Turbo 10A" 539096
        Fuel  $2,756 $2,839 $2,924 $3,012 $3,102 2023 "Acura TLX Sedan Type S 4dr Sedan AWD" "3.0L 6cyl Turbo 10A" 539096
   Insurance  $1,544 $1,598 $1,654 $1,712 $1,772 2023 "Acura TLX 4dr Sedan AWD w/A-Spec Package" "2.0L 4cyl Turbo 10A" 50624
 Maintenance     $86   $445   $391 $2,618 $2,198 2023 "Acura TLX 4dr Sedan AWD w/A-Spec Package" "2.0L 4cyl Turbo 10A" 50624
     Repairs      $0     $0     $0   $462   $707 2023 "Acura TLX 4dr Sedan AWD w/A-Spec Package" "2.0L 4cyl Turbo 10A" 50624
Taxes & Fees  $3,725   $266   $238   $216   $216 2023 "Acura TLX 4dr Sedan AWD w/A-Spec Package" "2.0L 4cyl Turbo 10A" 50624
   Financing  $4,672 $3,808 $2,857 $1,812   $664 2023 "Acura TLX 4dr Sedan AWD w/A-Spec Package" "2.0L 4cyl Turbo 10A" 50624
